# Re(z)	Im(z)
0.20588235 -0.97058824
0.32352941 -0.97058824
0.44117647 -0.97058824
0.55882353 -0.97058824
0.67647059 -0.97058824
0.79411765 -0.97058824
0.08823529 -0.79411765
0.20588235 -0.79411765
0.32352941 -0.79411765
0.44117647 -0.79411765
0.55882353 -0.79411765
0.67647059 -0.79411765
0.79411765 -0.79411765
0.91176471 -0.79411765
-0.02941176 -0.61764706
0.08823529 -0.61764706
0.20588235 -0.61764706
0.32352941 -0.61764706
0.44117647 -0.61764706
0.55882353 -0.61764706
0.67647059 -0.61764706
0.79411765 -0.61764706
0.91176471 -0.61764706
1.02941176 -0.61764706
-0.02941176 -0.44117647
0.08823529 -0.44117647
0.20588235 -0.44117647
0.32352941 -0.44117647
0.44117647 -0.44117647
0.55882353 -0.44117647
0.67647059 -0.44117647
0.79411765 -0.44117647
0.91176471 -0.44117647
1.02941176 -0.44117647
0.08823529 -0.26470588
0.20588235 -0.26470588
0.32352941 -0.26470588
0.44117647 -0.26470588
0.55882353 -0.26470588
0.67647059 -0.26470588
0.79411765 -0.26470588
0.91176471 -0.26470588
0.08823529 -0.08823529
0.20588235 -0.08823529
0.32352941 -0.08823529
0.44117647 -0.08823529
0.55882353 -0.08823529
0.67647059 -0.08823529
0.79411765 -0.08823529
0.91176471 -0.08823529
0.08823529 0.08823529
0.20588235 0.08823529
0.32352941 0.08823529
0.44117647 0.08823529
0.55882353 0.08823529
0.67647059 0.08823529
0.79411765 0.08823529
0.91176471 0.08823529
0.08823529 0.26470588
0.20588235 0.26470588
0.32352941 0.26470588
0.44117647 0.26470588
0.55882353 0.26470588
0.67647059 0.26470588
0.79411765 0.26470588
0.91176471 0.26470588
-0.02941176 0.44117647
0.08823529 0.44117647
0.20588235 0.44117647
0.32352941 0.44117647
0.44117647 0.44117647
0.55882353 0.44117647
0.67647059 0.44117647
0.79411765 0.44117647
0.91176471 0.44117647
1.02941176 0.44117647
-0.02941176 0.61764706
0.08823529 0.61764706
0.20588235 0.61764706
0.32352941 0.61764706
0.44117647 0.61764706
0.55882353 0.61764706
0.67647059 0.61764706
0.79411765 0.61764706
0.91176471 0.61764706
1.02941176 0.61764706
0.08823529 0.79411765
0.20588235 0.79411765
0.32352941 0.79411765
0.44117647 0.79411765
0.55882353 0.79411765
0.67647059 0.79411765
0.79411765 0.79411765
0.91176471 0.79411765
0.20588235 0.97058824
0.32352941 0.97058824
0.44117647 0.97058824
0.55882353 0.97058824
0.67647059 0.97058824
0.79411765 0.97058824
