# Re(z)	Im(z)
0.50000000 0.20000000
0.51111111 0.20000000
0.52222222 0.20000000
0.53333333 0.20000000
0.54444444 0.20000000
0.55555556 0.20000000
0.56666667 0.20000000
0.57777778 0.20000000
0.58888889 0.20000000
0.60000000 0.20000000
0.50000000 0.25555556
0.51111111 0.25555556
0.52222222 0.25555556
0.53333333 0.25555556
0.54444444 0.25555556
0.55555556 0.25555556
0.56666667 0.25555556
0.57777778 0.25555556
0.58888889 0.25555556
0.60000000 0.25555556
0.50000000 0.31111111
0.51111111 0.31111111
0.52222222 0.31111111
0.53333333 0.31111111
0.54444444 0.31111111
0.55555556 0.31111111
0.56666667 0.31111111
0.57777778 0.31111111
0.58888889 0.31111111
0.60000000 0.31111111
0.50000000 0.36666667
0.51111111 0.36666667
0.52222222 0.36666667
0.53333333 0.36666667
0.54444444 0.36666667
0.55555556 0.36666667
0.56666667 0.36666667
0.57777778 0.36666667
0.58888889 0.36666667
0.60000000 0.36666667
0.50000000 0.42222222
0.51111111 0.42222222
0.52222222 0.42222222
0.53333333 0.42222222
0.54444444 0.42222222
0.55555556 0.42222222
0.56666667 0.42222222
0.57777778 0.42222222
0.58888889 0.42222222
0.60000000 0.42222222
0.50000000 0.47777778
0.51111111 0.47777778
0.52222222 0.47777778
0.53333333 0.47777778
0.54444444 0.47777778
0.55555556 0.47777778
0.56666667 0.47777778
0.57777778 0.47777778
0.58888889 0.47777778
0.60000000 0.47777778
0.50000000 0.53333333
0.51111111 0.53333333
0.52222222 0.53333333
0.53333333 0.53333333
0.54444444 0.53333333
0.55555556 0.53333333
0.56666667 0.53333333
0.57777778 0.53333333
0.58888889 0.53333333
0.60000000 0.53333333
0.50000000 0.58888889
0.51111111 0.58888889
0.52222222 0.58888889
0.53333333 0.58888889
0.54444444 0.58888889
0.55555556 0.58888889
0.56666667 0.58888889
0.57777778 0.58888889
0.58888889 0.58888889
0.60000000 0.58888889
0.50000000 0.64444444
0.51111111 0.64444444
0.52222222 0.64444444
0.53333333 0.64444444
0.54444444 0.64444444
0.55555556 0.64444444
0.56666667 0.64444444
0.57777778 0.64444444
0.58888889 0.64444444
0.60000000 0.64444444
0.50000000 0.70000000
0.51111111 0.70000000
0.52222222 0.70000000
0.53333333 0.70000000
0.54444444 0.70000000
0.55555556 0.70000000
0.56666667 0.70000000
0.57777778 0.70000000
0.58888889 0.70000000
0.60000000 0.70000000
